task_type	prefix	data_type	bound	start	end	video	question	answer	candidates	index
Action Sequence	video/star/Charades_v1_480/	video	True	1.5	17.1	ZS9XR.mp4	What happened after the person took the food?	Ate the medicine.	['Ate the medicine.', 'Tidied up the blanket.', 'Put down the cup/glass/bottle.', 'Took the box.']	0
Action Sequence	video/star/Charades_v1_480/	video	True	0.5	11.0	EY6P4.mp4	What happened before the person watched at the book?	Opened the closet/cabinet.	['Tidied up the table.', 'Took the phone/camera.', 'Opened the closet/cabinet.', 'Washed the table.']	1
Action Sequence	video/star/Charades_v1_480/	video	True	14.2	30.4	WBS4I.mp4	What happened before the person watched at the book?	Opened the closet/cabinet.	['Put down the sandwich.', 'Washed the table.', 'Opened the closet/cabinet.', 'Put down the pillow.']	2
Action Sequence	video/star/Charades_v1_480/	video	True	3.2	11.4	43FG9.mp4	What happened after the person put down the clothes?	Threw the towel.	['Took the broom.', 'Took the blanket.', 'Opened the door.', 'Threw the towel.']	3
Action Sequence	video/star/Charades_v1_480/	video	True	5.0	12.3	9LHP3.mp4	What happened after the person held the shoe?	Sat on the sofa/couch.	['Opened the closet/cabinet.', 'Threw the broom.', 'Sat on the sofa/couch.', 'Washed the clothes.']	4
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	10.7	PQYWB.mp4	What happened after the person held the phone/camera?	Put down the towel.	['Closed the refrigerator.', 'Put down the towel.', 'Put down the laptop.', 'Opened the window.']	5
Action Sequence	video/star/Charades_v1_480/	video	True	19.5	29.3	GLGQJ.mp4	What happened after the person took the phone/camera?	Closed the window.	['Took the book.', 'Put down the pillow.', 'Closed the window.', 'Took the food.']	6
Action Sequence	video/star/Charades_v1_480/	video	True	22.1	36.2	VKXLL.mp4	What happened after the person opened the box?	Put down the paper/notebook.	['Threw the clothes.', 'Put down the food.', 'Sat at the table.', 'Put down the paper/notebook.']	7
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	14.7	0OSJY.mp4	What happened after the person sat on the bed?	Put down the broom.	['Took the phone/camera.', 'Opened the window.', 'Took the pillow.', 'Put down the broom.']	8
Action Sequence	video/star/Charades_v1_480/	video	True	5.6	16.4	HPAYB.mp4	What happened before the person took the clothes?	Put down the bag.	['Threw the book.', 'Put down the bag.', 'Opened the window.', 'Put down the cup/glass/bottle.']	9
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	7.4	M2XIS.mp4	What happened before the person sat on the sofa/couch?	Put down the laptop.	['Put down the laptop.', 'Took the paper/notebook.', 'Put down the pillow.', 'Ate the medicine.']	10
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	8.8	YOCI8.mp4	What happened after the person held the blanket?	Tidied up the table.	['Tidied up the table.', 'Took the dish.', 'Opened the window.', 'Took the pillow.']	11
Action Sequence	video/star/Charades_v1_480/	video	True	0.0	9.4	3Q6N1.mp4	What happened before the person held the food?	Opened the laptop.	['Put down the clothes.', 'Opened the laptop.', 'Put down the food.', 'Took the dish.']	12
